addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,E-mail,C Esteve Terradas,Informació d'interès,8023,pvirgili@perevirgili.catsalut.net,BARCELONA,2.140265906627508,41.41495508215849,Gràcia,428150.07268896233,30,﻿92086005467,,True,6,,,28,1,Parc Sanitari Pere Virgili,116901,1988-03-14T00:00:00,4585179.284190155,,2022-09-21T19:13:34.303475,,40212,Vallcarca i els Penitents,True,100002
,,Web,C Fulton,Informació d'interès,8032,http://lameva.barcelona.cat/horta-guinardo/ca/home/el-barri-dhorta,BARCELONA,2.161502292023968,41.42999427513082,Horta-Guinardó,429941.02895279374,15,﻿99400387386,,True,7,,,43,2,El nucli antic d'Horta,137209,2015-05-26T12:24:46,4586831.5224626595,,2021-09-09T02:14:37.921873,,95717,Horta,True,100003
,,,Pl Lesseps,,8023,,BARCELONA,2.1510867322061435,41.407712345657075,Gràcia,429046.5211547476,18,﻿99400387400,,True,6,,,31,3,La plaça de Lesseps,123408,2015-05-26T13:26:20,4584366.282306089,,2021-09-09T02:14:44.349060,,,la Vila de Gràcia,,
,,E-mail,C Ramon Trias Fargas,Informació d'interès,8005,info@idec.upf.edu,BARCELONA,2.1908720858610877,41.39002929461585,Sant Martí,432353.53643239953,25,﻿99400387426,,True,10,,,67,4,El Campus Ciutadella,132908,2015-05-26T17:06:23,4582371.308443117,,2022-09-09T12:06:57.108133,,57030,la Vila Olímpica del Poblenou,True,100002
,,Web,Pg Vall d'Hebron,Informació d'interès,8035,http://www.ub.edu/campusmundet/,BARCELONA,2.147158169831797,41.435755414096874,Horta-Guinardó,428748.82438690326,173,﻿99400387429,,True,7,,,40,5,El Campus Mundet - UB,352507,2015-05-26T17:35:12,4587482.826868194,,2022-09-09T12:07:54.518743,,95719,Montbau,True,100003
,,E-mail,Pl Turó de la Trinitat,Informació d'interès,8033,ot.acciot@diba.cat,BARCELONA,2.1909188386141625,41.45464961996649,Sant Andreu,432424.47430298897,1,﻿99400387431,,True,9,,,57,6,La llera del riu Besòs,77209,2015-05-26T17:48:09,4589545.359535437,,2022-09-05T09:57:17.992811,,57015,la Trinitat Vella,True,100002
,,,Pl Sarrià,,8017,,BARCELONA,2.122029074017245,41.39981901760966,Sarrià-Sant Gervasi,426608.93201826315,,﻿99400477556,,True,5,,,23,7,La plaça de Sarrià,106103,2017-02-09T12:24:53,4583514.183095884,,2021-09-09T02:16:37.739851,,,Sarrià,,
,107,Arquitecte(s),Carretera de Vallvidrera al Tibidabo,Variables,8035,Josep Amargós i Samaranch,Barcelona,2.118943948440615,41.42297808783553,Sarrià-Sant Gervasi,426377.1926153,107,﻿99400477558,,True,5,,,22,8,La Torre d'Aigües de Josep Amargós,335654,2017-02-09T12:44:59,4586087.900654101,,2021-04-23T09:51:30.760459,,356954,"Vallvidrera, el Tibidabo i les Planes",False,50
,,,Ctra Església,,8017,,BARCELONA,2.104502955711604,41.41369557781431,Sarrià-Sant Gervasi,425159.8057521216,2,﻿99400477569,,True,5,,,22,9,Colònia Busquets,160007,2017-02-09T13:33:33,4585069.741609664,,2021-09-09T02:16:44.250067,,,"Vallvidrera, el Tibidabo i les Planes",,
,,,Pg Enric Sanchis,,8030,,BARCELONA,2.205388440533967,41.434973842831134,Sant Andreu,433612.9512093952,21,﻿99400477574,,True,9,,,59,10,Fàbrica Sanchís,110508,2017-02-09T13:42:47,4587349.768153637,,2021-09-09T02:16:44.334389,,,el Bon Pastor,,
